"MY","ACW","GS","G_1"
2.3048802,7.8048,-0.362687814161181,1
1.8027656,8.244,-0.438707664161921,2
2.034477,7.3944,-0.0545184436091222,1
1.5945972,9.8856,-0.679381698817015,1
1.5519158,8.5752,-0.174760391596355,1
2.0069452,7.6536,0.133843238929985,1
1.8117013,8.2656,-0.00389674915000796,1
1.9088398,7.9632,-0.31573579671327,1
1.8494714,7.7472,-0.251544881332666,1
1.6589815,9.1512,-0.181266922634095,1
1.8386044,8.4672,-0.0665036104182946,1
1.7307954,9.4104,-0.0561803871253505,1
1.5090255,10.3608,-0.52112331584096,1
1.549248,10.5336,-0.246512264492922,1
1.7211174,9.288,-0.0966052998858504,1
1.6033311,10.3536,-0.578737355098128,1
1.6957987,9.8496,-0.712346790134907,1
1.8040962,8.676,-0.181927358925459,1
1.759704,9.2952,0.0779151077382267,1
1.8547797,9.3528,0.152765373307629,2
1.8891059,8.4888,0.113501857384108,1
1.8752579,8.7408,0.180028843654436,1
1.8855546,8.568,0.21625064737862,1
2.0014121,9.0648,0.200388727830723,1
1.813405,9.2592,0.254332241639495,1
1.8408834,9.5472,0.059644135182898,1
1.8799126,9.3024,0.125617509743897,2
1.9195465,9.2304,0.241108447666047,1
1.7481507,9.144,0.0892440084554255,1
1.7273837,11.0808,0.0914260505186394,2
1.771202,9.4032,0.0729092333163135,1
1.8084804,10.0224,0.172320452596177,2
1.8000477,9.216,0.141577987488781,1
1.9672382,8.7264,0.26387835691683,1
2.133222,7.5384,-0.112291919746203,1
2.041187,7.5744,-0.0396027843025513,1
1.7735021,7.5528,-0.232248937431723,1
1.9522859,9.3096,0.18747150316136,1
1.8954917,8.5392,0.181240359982476,1
1.9246094,8.9352,0.230654682777822,1
1.9066691,8.3664,0.267845638357103,1
1.9937692,7.8336,-0.0768236231431365,1
1.8785934,8.4528,-0.0111262245825492,1
1.817991,8.0568,-0.0194230717886239,1
1.9977939,7.6464,-0.174022174710408,1
1.6593524,9.4248,-0.487522286772728,1
1.5949402,10.188,-0.317683983594179,1
1.9284423,9.324,-0.497178437411785,1
1.7452881,8.424,-0.185787937662099,1
1.8609143,7.8984,-0.0567273962797299,1
1.7823898,9.324,-0.157917418624274,1
1.684384,10.008,-0.0680345166707411,1
1.6679838,9.3816,-0.0871072738897055,1
1.5213018,9.6192,-0.428697506338358,1
2.1106303,7.2,-0.0758043690465638,1
2.1385228,6.7752,0.132381229528692,1
1.8700794,7.6824,0.088391743353568,1
1.6432007,10.1376,-0.116675798478536,1
1.6618767,9.4536,-0.279969040043652,1
1.6121579,7.6032,-0.337277855426073,1
1.6455757,9.504,-0.0557109114357445,1
1.5909157,9.108,-0.207889929487428,1
2.0541769,8.5968,0.259262475594878,1
1.8882318,8.5248,0.183896121109719,1
1.9677128,8.3232,0.289123045876622,1
2.0002786,8.6544,0.287272030357271,1
1.9496498,8.4024,0.307263978034607,1
1.8903423,8.3952,0.265959321577102,1
1.8826986,8.0064,0.150303081274033,1
2.1587369,8.2008,0.140186966555193,1
2.0786925,8.388,0.32472877780674,2
1.9286704,8.4528,0.217428077897057,1
1.9049105,8.7768,0.068989670374358,1
1.89354,8.9784,0.0960944798821583,1
1.9560902,8.8344,0.360456845015287,1
2.2016958,8.5248,-0.20688844415592,1
1.8608487,8.6976,0.0445778903522296,1
1.905793,8.532,0.298312144326046,1
1.8337177,9.1368,0.24557487746235,1
1.7854574,8.4528,0.0617050912138075,1
1.8637699,8.4888,0.273700442649424,1
1.8041475,8.2872,0.2210354148224,1
1.8002528,8.5248,0.202537210622249,1
1.8007852,8.964,0.206884215185419,1
1.8702739,8.2296,0.191679037597496,1
2.3160348,7.2864,0.0603658425982576,1
1.7536845,8.6688,0.11127992588561,1
1.6963993,9.8568,-0.0545843211049214,1
1.7488515,8.1144,0.184454612041009,1
1.7495487,8.4888,0.1859379201103,1
1.7417535,9.2232,0.129450365072116,1
1.8225014,10.2456,0.0710156994010322,1
1.8992815,10.1952,-0.0181286268425174,1
1.7975471,8.0568,-0.0819570589996874,2
1.8967975,8.9568,-0.0456202056561597,1
1.8904446,8.4888,-0.0416655368279316,2
1.824382,9.1224,0.00688978021964431,1
